number,value,datetime_start,datetime_complete,duration,params_filters_0,params_filters_1,params_filters_2,params_filters_3,params_n_conv_layers,params_padding_0,params_padding_1,params_padding_2,params_padding_3,params_pool_0,params_pool_1,params_pool_2,params_pool_3,user_attrs_macs,user_attrs_macs_ratio,user_attrs_val_accuracy,system_attrs_tpe:relative_params:0,state
61,0.8890639989248172,2026-09-16 14:32:09.143302,2026-09-16 14:33:43.949805,0 days 00:01:34.806503,16,48,32.0,32.0,4,same,valid,valid,same,1,2,1.0,1.0,13769728.0,0.24340767578376346,0.9085366129875183,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 1, ""pool_1"": 2}",COMPLETE
62,0.39257066312963146,2026-09-16 14:33:43.951462,2026-09-16 14:33:56.928809,0 days 00:00:12.977347,16,48,16.0,32.0,4,valid,same,valid,same,2,2,1.0,2.0,2666464.0,0.04713512168149415,0.396341472864151,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
63,0.8730490607017051,2026-09-16 14:33:56.929814,2026-09-16 14:34:31.698082,0 days 00:00:34.768268,16,32,32.0,,3,same,valid,valid,,2,2,1.0,,1687552.0,0.02983088047085909,0.8754355311393738,"{""filters_0"": 16, ""filters_1"": 32, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
64,0.21071080759249025,2026-09-16 14:34:31.699058,2026-09-16 14:34:53.427324,0 days 00:00:21.728266,48,16,32.0,,3,same,valid,valid,,2,2,1.0,,2527936.0,0.04468636027451696,0.2142857164144516,"{""filters_0"": 48, ""filters_1"": 16, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
65,0.5522724155135045,2026-09-16 14:34:53.427887,2026-09-16 14:35:16.153345,0 days 00:00:22.725458,48,48,24.0,,3,valid,valid,valid,,2,2,1.0,,5538360.0,0.0979016677202167,0.5601045489311218,"{""filters_0"": 48, ""filters_1"": 48, ""n_conv_layers"": 3, ""padding_0"": ""valid"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
66,0.7826641392115498,2026-09-16 14:35:16.154001,2026-09-16 14:36:35.352053,0 days 00:01:19.198052,48,24,,,2,same,same,,,2,2,,,4004760.0,0.07079219892156073,0.7883275151252747,"{""filters_0"": 48, ""filters_1"": 24, ""n_conv_layers"": 2, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
67,0.5474145084628476,2026-09-16 14:36:35.353236,2026-09-16 14:36:53.519521,0 days 00:00:18.166285,24,48,32.0,,3,same,valid,valid,,2,2,1.0,,3429808.0,0.06062876432014911,0.5522648096084595,"{""filters_0"": 24, ""filters_1"": 48, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
68,0.850177322149242,2026-09-16 14:36:53.520650,2026-09-16 14:37:32.561968,0 days 00:00:39.041318,16,24,32.0,,3,same,valid,valid,,2,1,1.0,,2461696.0,0.04351543486161726,0.8536585569381714,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 1}",COMPLETE
69,,2026-09-16 14:37:32.562549,2026-09-16 14:37:32.629257,0 days 00:00:00.066708,24,48,32.0,32.0,4,same,same,valid,same,2,1,4.0,4.0,,,,"{""filters_0"": 24, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 1}",PRUNED
70,0.8327614131513302,2026-09-16 14:37:32.629669,2026-09-16 14:38:33.977753,0 days 00:01:01.348084,16,24,24.0,,3,same,valid,valid,,1,2,1.0,,5537496.0,0.09788639478004844,0.8405923247337341,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 1, ""pool_1"": 2}",COMPLETE
71,0.9121602302641598,2026-09-16 14:38:33.979662,2026-09-16 14:39:23.839625,0 days 00:00:49.859963,24,24,16.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,2365360.0,0.04181250203285662,0.9155052304267883,"{""filters_0"": 24, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
72,0.7963869088585749,2026-09-16 14:39:23.841953,2026-09-16 14:39:56.899071,0 days 00:00:33.057118,16,24,,,2,same,same,,,4,2,,,460632.0,0.00814259835137096,0.7970383167266846,"{""filters_0"": 16, ""filters_1"": 24, ""n_conv_layers"": 2, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 4, ""pool_1"": 2}",COMPLETE
73,0.8886410719008175,2026-09-16 14:39:56.899678,2026-09-16 14:40:54.382861,0 days 00:00:57.483183,24,24,16.0,32.0,4,same,same,valid,same,2,2,1.0,1.0,2365360.0,0.04181250203285662,0.891986072063446,"{""filters_0"": 24, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
74,0.8725701012980285,2026-09-16 14:40:54.384832,2026-09-16 14:41:44.880133,0 days 00:00:50.495301,16,48,16.0,32.0,4,same,valid,valid,same,2,4,1.0,1.0,2026240.0,0.03581787301681579,0.8754355311393738,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 4}",COMPLETE
75,0.8869278202275339,2026-09-16 14:41:44.882383,2026-09-16 14:42:31.486562,0 days 00:00:46.604179,16,32,16.0,,3,same,same,valid,,2,4,1.0,,1728944.0,0.03056256743780873,0.8893728256225586,"{""filters_0"": 16, ""filters_1"": 32, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 4}",COMPLETE
76,0.17728407648980737,2026-09-16 14:42:31.488831,2026-09-16 14:42:58.586726,0 days 00:00:27.097895,48,24,32.0,32.0,4,same,same,valid,same,1,2,1.0,1.0,18773440.0,0.3318583632781952,0.203832745552063,"{""filters_0"": 48, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 1, ""pool_1"": 2}",COMPLETE
77,,2026-09-16 14:42:58.587447,2026-09-16 14:42:58.662769,0 days 00:00:00.075322,24,24,16.0,32.0,4,valid,same,valid,same,2,4,1.0,4.0,,,,"{""filters_0"": 24, ""filters_1"": 24, ""n_conv_layers"": 4, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 4}",PRUNED
78,0.8928511110178834,2026-09-16 14:42:58.663261,2026-09-16 14:43:53.290899,0 days 00:00:54.627638,24,32,32.0,16.0,4,same,same,valid,valid,2,2,1.0,1.0,3084128.0,0.05451817409171966,0.897212564945221,"{""filters_0"": 24, ""filters_1"": 32, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
79,0.7682760769159676,2026-09-16 14:43:53.292871,2026-09-16 14:44:40.564445,0 days 00:00:47.271574,16,48,,,2,same,same,,,2,2,,,2475600.0,0.043761216065436065,0.7717769742012024,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 2, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
80,0.8847904085635918,2026-09-16 14:44:40.566490,2026-09-16 14:46:03.342856,0 days 00:01:22.776366,48,48,32.0,24.0,4,valid,valid,valid,valid,2,2,1.0,1.0,5704248.0,0.10083407223252203,0.8928571343421936,"{""filters_0"": 48, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""valid"", ""padding_1"": ""valid"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
81,0.883790322969122,2026-09-16 14:46:03.344885,2026-09-16 14:47:22.569819,0 days 00:01:19.224934,16,48,24.0,24.0,4,same,same,same,same,1,4,1.0,4.0,10723224.0,0.1895545816699263,0.8989546895027161,"{""filters_0"": 16, ""filters_1"": 48, ""n_conv_layers"": 4, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 1, ""pool_1"": 4}",COMPLETE
82,0.8807124904444746,2026-09-16 14:47:22.571806,2026-09-16 14:48:16.068965,0 days 00:00:53.497159,24,48,32.0,,3,valid,same,same,,2,2,1.0,,4276096.0,0.07558860921495673,0.8867595791816711,"{""filters_0"": 24, ""filters_1"": 48, ""n_conv_layers"": 3, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 2}",COMPLETE
